ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,FASCIAETA,ALUNNI
201516,CT1MHE500T,SCUOLA SECONDARIA I GRADO,2,11 anni,1
201516,PV1M00500T,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,2
201516,RM1M04300B,SCUOLA SECONDARIA I GRADO,1,11 anni,14
201516,CO1M01500V,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,2
201516,TV1M00500C,SCUOLA SECONDARIA I GRADO,2,12 anni,13
201516,RM1M11200L,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,1
201516,MI1M08100N,SCUOLA SECONDARIA I GRADO,2,11 anni,4
201516,RA1M001001,SCUOLA SECONDARIA I GRADO,2,13 anni,2
201516,VI1M003004,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,3
201516,BA1MD7500G,SCUOLA SECONDARIA I GRADO,3,13 anni,5
201516,GE1M014005,SCUOLA SECONDARIA I GRADO,2,> di 13 anni,1
201516,MI1M09300X,SCUOLA SECONDARIA I GRADO,3,12 anni,3
201516,MI1M03600Q,SCUOLA SECONDARIA I GRADO,2,13 anni,2
201516,SR1M00200P,SCUOLA SECONDARIA I GRADO,3,13 anni,11
201516,RM1M003001,SCUOLA SECONDARIA I GRADO,3,13 anni,19
201516,CT1M01500L,SCUOLA SECONDARIA I GRADO,3,13 anni,8
201516,LC1M05000X,SCUOLA SECONDARIA I GRADO,1,11 anni,79
201516,NA1M060006,SCUOLA SECONDARIA I GRADO,1,12 anni,3
201516,TO1M05100T,SCUOLA SECONDARIA I GRADO,1,12 anni,5
201516,BI1M020008,SCUOLA SECONDARIA I GRADO,3,12 anni,1
201516,VA1M009009,SCUOLA SECONDARIA I GRADO,1,12 anni,2
201516,RM1M08500D,SCUOLA SECONDARIA I GRADO,3,13 anni,22
201516,MI1M01700A,SCUOLA SECONDARIA I GRADO,1,12 anni,3
201516,BS1M02400B,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,2
201516,VA1MAR500M,SCUOLA SECONDARIA I GRADO,1,11 anni,12
201516,ME1MU5500F,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,8
201516,VE1M002001,SCUOLA SECONDARIA I GRADO,3,12 anni,1
201516,MI1M05100T,SCUOLA SECONDARIA I GRADO,1,11 anni,16
201516,MI1M08100N,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,2
